# Lijst van alle warps op 11 oktober 2021
____Davids Shop____	-12624.742 84 11785.187
__KaasShops__	-6213.742 67 -5045.492
_Abbey Town_	-1183.405 62.9375 -1311.457
_Beste (Ligt eraan wat beste is) XP FARM	-1124.3 79 -2886.458
_Spoor_	-3667.073 64 -6258.307
A	1452.93 104 6680.255
A_Fishing_Warp	-4141.033 64 -1914.058
AdventureIsland	-9606.529 75 -2856.517
Afkloud	3878.5 91 6707.5
Arryn SpiderSpawn	-11195.306 12 7614.283
Artmap	-4200.701 20.5 4717.761
ArtMuseum	-2612.997 64 2859.986
Azura Coast	-443.318 64 -11448.348
Beds	-2385.548 102 -3229.483
BELland	3155.902 62 -667.086
blaze	3497.047 24 -3031.897
BookShop	-8836.4 8.5 9021.294
BuddhaTempel	1387.229 72 380.422
BuyYourBlocks	-4050.021 131 -646.879
Cake	-776.136 25 -3539.3
Casino	-2152.483 67.0625 -3797.42
CastAway	2989.178 64 7591.526
Centraal Station	-7587.684 71.9375 -7149.865
CheapShop	-4279.706 63 -1165.512
City	-2372.171 67 -3552.496
Claim	-4150.799 66 1602.65
Cuba	-5141 102 7461.322
D4C	462.7 78 4636.327
Desert	2521.568 70 7764.521
Dierentuin	3622.507 63 -4672.545
Disco	-4342.303 70 -1173.548
DivinityTown	-2496.735 65.0625 -3197.732
Dog Shelter	-3100.485 63.1875 -153.986
Dumpplaats	467.3 69 3409.405
Enchant	-2381.49 120 -3229.39
End_Portal	4231.7 37 -3180.7
Endportal	-4583.488 36.5 -6813.204
Fishing	3472.094 63 4177.43
Flying__city	-15.18 110 784.128
Flying_City	1536.646 128 -186.782
Foxie	-2686.996 64 340.685
Free potion brewer	-304.721 67 -5631.431
Free Sugarcane	6527.988 67 -430.595
Free_Books	-4177.5 20.5 4745.5
gardianfarm	14733.159 59 6482.385
Giveaway	-2218.16 71 1819.573
Globalfarm	909.573 78 3616.353
Grand_Café	-2996.873 74 1022.562
GratisMobDrops	2251.7 6 -363.54
Gravel	-1127.411 102 1404.594
Grote snoepwinkel	2098.024 82 -2761.013
Harbour	-5394.773 67 5404.875
HierKrijgenDierenGeenPijn	5998.692 126 -3925.473
hoi	-1616.44 118 -3965.92
Homados Colloseum	-8478.511 86 -8273.462
HuisTenBosch	-2529.708 64 -6814.547
Illegale_Kroeg	5906.288 51 -4135.399
Inrichten	-2417.645 67 -3597.578
Italiaans dorp	-2009.493 64 3907.475
Jillapark	3070.392 68 -4632.717
Jillatown	6388.903 63 2584.982
Kaas	11752.621 66 15231.709
KaasShopEiland!	-6229.136 69 -5083.456
KaasShops	-5171.533 63 -5035.527
Kerst Village	6267.998 64 4370.124
Keukengang	4631.927 130 1842.513
LarsShop	-9114.257 70 9242.369
Maksy	-2224.956 71 1819.646
MartelMachine	3715.413 235 354.168
Mawksy	-2312.551 11 1836.439
MendingBoekjes	-5779.502 6 -6920.45
MEnsen !!	-6593.717 50 -7130.83
